"Publisher Name","Publisher Registry ID","2014
IATI Spend","2015
IATI Spend","2014
Reference Spend","Source URL","Notes","2015
Reference Spend","Source URL","Notes","2015
Official Forecast","Spend Ratio
(%)","Coverage
(%)","Currency code"
"TB Alert","tbalert",,,758328,"http://www.tbalert.org/wp-content/uploads/2016/01/Annual-Report-and-Accounts-2014-15.pdf","Non-calendar year ended 31st March 2015, sum of charitable activities",,,,,,,"GBP"
"Teach A Man To Fish","tamtf",,,485300,"http://apps.charitycommission.gov.uk/Accounts/Ends99/0001112699_AC_20150430_E_C.pdf","Non-calendar year ended 30th April 2015, charitable activities from charity commission summary",,,,,,,"GBP"
"Tearfund","tearfund",,,57833000,"http://www.tearfund.org/~/media/files/main%20site/about%20us/financial%20reports%202015.pdf","Non-calendar year ended 31st March 2015, total charitable activities",,,,,,,"GBP"
"The Asia Foundation","taf",,,119677000,"http://asiafoundation.org/resources/pdfs/20150930TheAsiaFoundationFS.pdf","Non-calendar year ended 30th September 2014, 'Program, grants and related services' plus 'Books for Asia distribution', page 5 of report",106028000,"http://asiafoundation.org/resources/pdfs/20150930TheAsiaFoundationFS.pdf","Non-calendar year ended 30th September 2015, 'Program, grants and related services' plus 'Books for Asia distribution', page 4 of report",,,,"USD"
"The Coca-Cola Export Corporation","tccec",,,"Private sector",,"Private sector",,,,,,,
"The Foundation Center","foundation_center",,,19568101,"http://foundationcenter.org/about/FC_financials_2014.pdf","Total program services",,,,,,,"USD"
"The Global Alliance for Improved Nutrition","gain",,,21129038,"http://www.gainhealth.org/wp-content/uploads/2014/02/Financial-Statements-2014.pdf","Non-calendar year ended 30th June 2015, operational costs plus sub-awards, page 7 of report pdf",,,,,,,"USD"
"The Global Fund to Fight AIDS, Tuberculosis and Malaria","theglobalfund",,,2563000000,"http://www.theglobalfund.org/documents/publications/annual_reports/Corporate_2014AnnualFinancial_Report_en/","Expenditure - grants, page 26 of report",,,,,,,"USD"
"The International Children's Trust","theict",,,427825,"http://apps.charitycommission.gov.uk/Accounts/Ends81/0000254781_AC_20150331_E_C.pdf","Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,,"GBP"
"The Leprosy Mission England and Wales","tlmew",,,4600000,"http://apps.charitycommission.gov.uk/Accounts/Ends27/0001050327_AC_20141231_E_C.pdf","Charitable activities from charity commission summary",,,,,,,"GBP"
"The OPEC Fund for International Development (OFID)","ofid",,,1148289426,"DAC*",,,,,,,,"USD"
"The Open University","open_university",,,"?","http://www.open.ac.uk/about/international-development/","Main financial report doesn't seem relevant, International Development Office could be but can't find report",,,,,,,
"The Sabre Charitable Trust","sct",,,269367,"http://www.sabretrust.org/downloads/Sabre_AR_2015.pdf","Non-calendar year ended 31st March 2015, cost of charitable activities",,,,,,,"GBP"
"The Salvation Army International Development UK","said-uk",,,"No separate ID report found",,,,,,,,,
"The William and Flora Hewlett Foundation","hewlett-foundation",,,368512000,"http://www.hewlett.org/sites/default/files/Hewlett%20Foundation%202014%20Audited%20Financial%20Statements.pdf","Grants plus direct and other charitable activities",,,,,,,"USD"
"The World Bank","worldbank",,,17234136355,"DAC*","International Bank for Reconstruction and Development [IBRD] & IDA",,,,,,,"USD"
"Theatre for a Change Malawi","tfacmalawi",,,"-","http://www.tfacafrica.com/how-we-do-it/how-we-do-it/","No 2014 accounts available (up to 2012-13)",,,,,,,"-"
"Theatre for a Change UK","tfac",,,1190000,"http://apps.charitycommission.gov.uk/Accounts/Ends58/0001104458_AC_20150331_E_C.pdf","Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,,"GBP"
"Traidcraft Exchange","traidcraft",,,2752000,"http://www.traidcraft.co.uk/media/89928664-d82d-4b4a-87fa-5ff8a4eba8e1","Programme expenditure, not total",,,,,,,"GBP"
"Transparency International Bangladesh","tib",,,312446959,"http://www.ti-bangladesh.org/beta3/images/2016/fin_rep_14_v1.pdf","Total expenditure, page 2 of report but NB no clear distinction between project and other costs",,,,,,,"BDT"
"Transparency International Secretariat","transparency-international",," ","?","http://www.transparency.org/files/content/ouraccountability/TIS_2014AuditedFinancials.pdf","Not clear which values are relevant, see p12",,,,,,,
"Triple Line & Crown Agents (Joint Venture)","tripleline_crownagents",,,"Private sector",,"Private sector",,,,,,,
"Trocaire (Northern Ireland)","troc",,,57707000,"http://www.trocaire.org/sites/trocaire/files/pdfs/whatwedo/trocaire-annual-report-2014-15-web.pdf","Non-calendar year ended 28th February 2015, charitable expenditure",,,,,,,"EUR"
"Trust for Africa's Orphans","tao-03473165",,,200567,"http://apps.charitycommission.gov.uk/Accounts/Ends08/0001069208_AC_20141231_E_C.pdf","Costs of charitable activities, page 20 of report",,,,,,,"GBP"
"Twaweza","twaweza",,,7457854,"http://twaweza.org/uploads/files/Twaweza%20Financial%20Report%2031122014.pdf","Direct program costs, page 5 of report",,,,,,,"USD"
"Twin","twin-iati",,,1510000,"http://apps.charitycommission.gov.uk/Accounts/Ends24/0000291824_AC_20150331_E_C.pdf","Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,,"GBP"
"UK - Department for Environment, Food and Rural Affairs","defra_transparency",,,77244041.24,"DAC*","Department for Environment Food and Rural Affairs",,,,,,,"USD"
"UK - Department for International Development (DFID)","dfid",,,9809236117,"DAC*",,,,,,,,"USD"
"UK - Department for Work and Pensions","dwp",,,"-","DAC*","Department for Work and Pensions, but no data in DAC for 2014",,,,,,,"USD"
"UK - Department of Energy and Climate Change","deccadmin",,,125058653.6,"DAC*","Department of Energy and Climate Change",,,,,,,"USD"
"UK - Department of Health","doh",,,"-","DAC*","Department of Health, but no data in DAC for 2014",,,,,,,
"UK - Foreign & Commonwealth Office","fco",,,537422417.4,"DAC*","Foreign & Commonwealth Office",,,,,,,"USD"
"UK - Home Office","hooda",,,221914800,"DAC*","Home Office",,,,,,,"USD"
"UK - Medical Research Council","mrc",,,"?","http://www.mrc.ac.uk/publications/browse/annual-report-and-accounts-2014-15/","Can't tell from report which are relevant expenditures, see page 82",,,,,,,
"UK - Ministry of Defence","ukmod",,,3553683.56,"DAC*","Ministry of Defence",,,,,,,"USD"
"UK - Scottish Government","scottish_government",,,19268455.28,"DAC*","Scottish Government",,,,,,,"USD"
"UK - Welsh Government's Wales for Africa Programme","wfa",,,1699864.6,"DAC*","Welsh Assembly Government",,,,,,,"USD"
"UN Women","unw",,,271000000,"http://www.un.org/en/ecosoc/qcpr/pdf/statistical_annex_tables_on_funding_flows_2014.xlsx","Table B-1, UN-WOMEN",,,,,,,"USD"
"UN-Habitat","unhabitat",,,196000000,"http://www.un.org/en/ecosoc/qcpr/pdf/statistical_annex_tables_on_funding_flows_2014.xlsx","Table B-1, UN-HABITAT",,,,,,,"USD"
"UNITAID","utd",,,116052000,"http://www.unitaid.eu/images/budget/December_31_2014_Financial_Statements.pdf","Disbursements to grantees, page 8 of report",,,,,,,"USD"
"United Mission to Nepal","umn",,,7715748,"http://www.umn.org.np/new/publication_files/UMN_Annual_Report_13-14_low.pdf","Non-calendar year ended 16th July 2014, charitable expenditure, page 35 of report",9061577,"http://www.umn.org.np/new/publication_files/UMN_Annual_Report_2014-15.pdf","Non-calendar year ended 16th July 2015, charitable expenditure, page 35 of report",,,,"USD"
"United Nations Capital Development Fund","uncdf",,,"UN","http://www.un.org/en/ecosoc/qcpr/pdf/statistical_annex_tables_on_funding_flows_2014.xlsx","This is included in UNDP total, see above",,,,,,,
"United Nations Central Emergency Response Fund (CERF)","cerf",,,461000000,"https://docs.unocha.org/sites/dms/CERF/CERF-Annual_Report_2014-Final-6.15.15-WEB.pdf","CERF allocations to global humanitarian funding for relief work, page 14 of report, more detailed finances not found",,,,,,,"USD"
"United Nations Children's Fund (UNICEF)","unicef",,,4868000000,"http://www.un.org/en/ecosoc/qcpr/pdf/statistical_annex_tables_on_funding_flows_2014.xlsx","Table B-1, UNICEF",,,,,,,"USD"
"United Nations Development Programme","undp",,,,"http://www.un.org/en/ecosoc/qcpr/pdf/statistical_annex_tables_on_funding_flows_2014.xlsx","5372000000 Table B-1, UNDP a/, this includes UNCDF",,,,,,,"USD"
"United Nations Educational, Scientific and Cultural Organization (UNESCO)","unesco",,,626000000,"http://www.un.org/en/ecosoc/qcpr/pdf/statistical_annex_tables_on_funding_flows_2014.xlsx","Table B-1, UNESCO",,,,,,,"USD"
"United Nations Office for Project Services (UNOPS)","unops",,,"?",,"Not in official source, no report found",,,,,,,
"United Nations Office for the Coordination of Humanitarian Affairs (OCHA)","unocha",,,293000000,"http://www.un.org/en/ecosoc/qcpr/pdf/statistical_annex_tables_on_funding_flows_2014.xlsx","Table B-1, UNOCHA",,,,,,,"USD"
"United Nations Population Fund","unfpa",,,960000000,"http://www.un.org/en/ecosoc/qcpr/pdf/statistical_annex_tables_on_funding_flows_2014.xlsx","Table B-1, UNFPA",,,,,,,"USD"
"United Nations World Food Programme","wfp",,,4996000000,"http://www.un.org/en/ecosoc/qcpr/pdf/statistical_annex_tables_on_funding_flows_2014.xlsx","Table B-1, WFP",,,,,,,"USD"
"United States","unitedstates",,,27910655700,"DAC*","Sum of Agency for International Development, Department of Agriculture, Department of Treasury, Department of Defense, Peace Corps, State Department, African Development Foundation, Department of Health and Human Services, Millennium Challenge Corporation, Inter-American Development Foundation",,,,,,,"USD"
"Upper Quartile","uq",,,"Private sector",,"Private sector",,,,,,,
"Varkey Foundation","varkeyfoundation",,,3790000,"http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=1145119&SubsidiaryNumber=0","Charitable activities from charity commission summary, full report for year ended 31st March 2015 not available ",,,,,,,"GBP"
"Vision Aid Overseas","vao",,,699400,"http://apps.charitycommission.gov.uk/Accounts/Ends95/0001081695_AC_20150331_E_C.pdf","Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,,"GBP"
"Vision for a Nation Foundation","vfan",,,610521,"http://apps.charitycommission.gov.uk/Accounts/Ends23/0001140123_AC_20140630_E_C.pdf","Non-calendar year ended 30th June 2014 (so technically for the previous year, but very close, and nothing more recent published), costs of charitable activities, page 13 of report",,,,,,,"GBP"
"Viva","viva",,,1150000,"http://apps.charitycommission.gov.uk/Accounts/Ends89/0001053389_AC_20150331_E_C.pdf","Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,,"GBP"
"Voluntary Service Overseas (VSO)","vso",,,64449000,"http://www.vsointernational.org/sites/vso_international/files/vsoannualreport1415_signed.pdf","Non-calendar year ended 31st March 2015, sum of 5 charitable activities, page 47 of report",,,,,,,"GBP"
"War Child Holland","warchildholland",,,27748827,"http://www.warchildholland.org/sites/default/files/bijlagen/node_14/23-2015/2014ar_summary_warchild_eng.pdf","Expenditure on the objective, page 14 of report ",,,,,,,"EUR"
"War Child UK","wcuk",,,5440000,"http://apps.charitycommission.gov.uk/Accounts/Ends59/0001071659_AC_20141231_E_C.pdf","Charitable activities from charity commission summary",,,,,,,"GBP"
"War on Want","waronwant",,,1330000,"http://apps.charitycommission.gov.uk/Accounts/Ends24/0000208724_AC_20150331_E_C.pdf","Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,,"GBP"
"War on Want NI","wowni",,,412769,"http://www.waronwantni.org/images/2015%20statutory%20accounts.pdf","Non-calendar year ended 30th April 2015, charitable activities",,,,,,,"GBP"
"Water & Sanitation for the Urban Poor (WSUP)","wsup",,,"?",,"Can't locate report",,,,,,,
"Water for People","w4p",,,12976772,"https://www.waterforpeople.org/assets/docs/financials/2014.pdf","Non-calendar year ended 30th September 2014, program services, page 10",,,,,,,"USD"
"Water Witness International","water-witness-international",,,,"http://www.oscr.org.uk/public/search-scottish-charity-register/charity-details?number=SC041072#results","211061 - Non-calendar year ended 31st March 2015, no full report available so only have expenditure as given on Scottish charity register",,,,,,,"GBP"
"Water Works","waterworks",,,20790,"http://www.waterworkscharity.org/Documents/Reports%20Page%20Annual%20Report%20and%20Accounts%202014.pdf","Direct and indirect project costs, page 18 of report",,,,,,,"GBP"
"WaterAid","wateraid",,,60160000,"http://apps.charitycommission.gov.uk/Accounts/Ends01/0000288701_AC_20150331_E_C.pdf","Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,,"GBP"
"Welbodi Partnership","welbodipartnership",,,"-","http://apps.charitycommission.gov.uk/Accounts/Ends17/0001125217_AC_20140531_E_C.pdf","No recent enough report found",,,,,,,"-"
"Wellfound","wellfound",,,119547,"http://apps.charitycommission.gov.uk/Accounts/Ends34/0001110434_AC_20150331_E_C.pdf","Non-calendar year ended 31st March 2015, sum of charitable projects, page 17 or report",,,,,,,"GBP"
"Windle Trust Kenya","wtk",,,"?","http://www.windle.org/index.html","Can't locate report",,,,,,,
"Womankind Worldwide","womankindworld",,,1720000,"http://apps.charitycommission.gov.uk/Accounts/Ends06/0000328206_AC_20150331_E_C.pdf","Non-calendar year ended 31st March 2015, charitable activities from charity commission summary",,,,,,,"GBP"
"Women and Children First (UK)","wcf",,,763800,"http://apps.charitycommission.gov.uk/Accounts/Ends96/0001085096_AC_20141231_E_C.pdf","Charitable activities from charity commission summary",,,,,,,"GBP"
"Women for Women International (UK)","wfwiuk",,,2280000,"http://apps.charitycommission.gov.uk/Accounts/Ends09/0001115109_AC_20141231_E_C.pdf","Charitable activities from charity commission summary",,,,,,,"GBP"
"World Association for Christian Communication (UK)","wacc-uk",,,280393,"http://cdn.agilitycms.com/wacc-global/Images/Articles/pdf/WACC-UK-2014-Signed-Audited-Financial-Statements.pdf","Three different grant expenditures plus programmed activities, page 10 of report",,,,,,,"GBP"
"World Child Cancer UK","wccuk",,,1480000,"http://apps.charitycommission.gov.uk/Accounts/Ends29/0001084729_AC_20141231_E_C.pdf","Charitable activities from charity commission summary",,,,,,,"GBP"
"World University Service of Canada","wusc",,,29010805,"http://assets.wusc.ca/AnnualReports/wusc-annual-report-2014-2015-eng.pdf","Non-calendar year ended 31st March 2015, total of project expenses, assumed to be in Canadian dollars",,,,,,,"CAD"
"World Vision International","wvi",,,2359500000,"http://www.wvi.org/sites/default/files/WVI%20Annual%20Review%202014%20-%20English.pdf","Expenditures by activity, sum of first 3, does not include fundraising and administration",,,,,,,"USD"
"World Vision UK","wvuk",,,59380000,"http://apps.charitycommission.gov.uk/Accounts/Ends08/0000285908_AC_20140930_E_C.pdf","Non-calendar year ended 30th September 2014, charitable activities from charity commission summary",,,,,,,"GBP"
"World Wide Fund for Nature - Pakistan","wwfpakistan",,,628750550,"http://www.wwfpak.org/publication/pdf/annualreport2014.pdf","Non-calendar year ended 30th June 2014 (so technically for previous year, but very close and no other report available), total expenditure minus [fundraising, administration, depreciation], page 69 of report",,,,,,,"PKR"
"WWF-UK","wwf-uk",,,45820000,"http://apps.charitycommission.gov.uk/Accounts/Ends47/0001081247_AC_20150630_E_C.pdf","Non-calendar year ended 30th June 2015, charitable activities from charity commission summary",,,,,,,"GBP"
"WYG International","wygi",,,"Private sector","http://www.wyg.com/uploads/files/Investor_Section/Report__Accounts/annual_reports/wyg-annual-report-2015.pdf","Hard to tell what is the right figure in report",,,,,,,
"Y Care International","ycare",,,"-","http://1c8puy1lylrov7ssf1oz3o22.wpengine.netdna-cdn.com/wp-content/uploads/2014/12/YCI_AR2013-14_WO.pdf","Year ended 31st March 2014, not available for 2014",,,,,,,"-"
"Young Innovations Pvt. Ltd","yipl",,,"?",,"No report found",,,,,,,
"Youth Business International","ybi",,,5375122,"http://www.youthbusiness.org/wp-content/uploads/2015/08/2014-Annual-report-and-financial-statements.pdf","Charitable activities, page 18 of report",,,,,,,"GBP"
"Zimbabwe Educational Trust","zet",,,28461,"http://apps.charitycommission.gov.uk/Accounts/Ends19/0000327519_AC_20141231_E_C.pdf","Sum of trinity project, donations to other and special appeal",,,,,,,"GBP"
"Zimmerman & Zimmerman","zimmzimm",,,"Private sector",,"Private sector",,,,,,,
"Zing","zing",,,757000,"http://apps.charitycommission.gov.uk/Accounts/Ends42/0001133342_AC_20141231_E_C.pdf","Charitable activities from charity commission summary",,,,,,,"GBP"
"ZOA","zoa",,,38460420,"http://www.zoa-international.com/sites/default/files/pdf/ZOA-Jaarverslag-2014-webversie.pdf","Spent on objectives, page 90 of report",,,,,,,"EUR"
,,,,,,,,,,,,,
,,,,,"*The OECD DAC data was sourced on 20/01/2016 from [https://stats.oecd.org/DownloadFiles.aspx?DatasetCode=CRS1] using the file 'CRS 2014 data.zip' that was uploaded by the OECD on the 12/01/2016. The columns used were those headed 'DonorCode', 'DonorName', 'AgencyCode', 'AgencyName' and 'usd_disbursement' which was summed for each agency.

The OECD DAC & CRS List of Codes was accessed on 20/01/2016 using [http://www.oecd.org/dac/stats/documentupload/Codelist.xls]. Using the tab 'Agency' and the column 'Agency name (EN)', agencies were mapped to their corresponding full names, using the donor code and agency code information from the CRS data file.
",,,,,,,,
